"assignment_name","assignment_url","starter_code_url","github_username","roster_identifier","student_repository_name","student_repository_url","submission_timestamp","points_awarded","points_available"
"lab0-1-run-os2","https://classroom.github.com/classrooms/19380377-2022-training-comp-on-open-source-os/assignments/lab0-1-run-os2","https://api.github.com/repos/LearningOS/rust-based-os-comp2022","CL-a11y","","lab0-1-run-os2-CL-a11y","https://github.com/LearningOS/lab0-1-run-os2-CL-a11y","2022-06-28 23:59:59 UTC","100","0"
"lab0-1-run-os2","https://classroom.github.com/classrooms/19380377-2022-training-comp-on-open-source-os/assignments/lab0-1-run-os2","https://api.github.com/repos/LearningOS/rust-based-os-comp2022","hscspring","","lab0-1-run-os2-hscspring","https://github.com/LearningOS/lab0-1-run-os2-hscspring","","0","0"
"lab0-1-run-os2","https://classroom.github.com/classrooms/19380377-2022-training-comp-on-open-source-os/assignments/lab0-1-run-os2","https://api.github.com/repos/LearningOS/rust-based-os-comp2022","Build10240","","lab0-1-run-os2-Build10240","https://github.com/LearningOS/lab0-1-run-os2-Build10240","","0","0"
"lab0-1-run-os2","https://classroom.github.com/classrooms/19380377-2022-training-comp-on-open-source-os/assignments/lab0-1-run-os2","https://api.github.com/repos/LearningOS/rust-based-os-comp2022","blinkingso","","lab0-1-run-os2-blinkingso","https://github.com/LearningOS/lab0-1-run-os2-blinkingso","","0","0"
"lab0-1-run-os2","https://classroom.github.com/classrooms/19380377-2022-training-comp-on-open-source-os/assignments/lab0-1-run-os2","https://api.github.com/repos/LearningOS/rust-based-os-comp2022","chanhx","","lab0-1-run-os2-chanhx","https://github.com/LearningOS/lab0-1-run-os2-chanhx","","0","0"
"lab0-1-run-os2","https://classroom.github.com/classrooms/19380377-2022-training-comp-on-open-source-os/assignments/lab0-1-run-os2","https://api.github.com/repos/LearningOS/rust-based-os-comp2022","ttxs69","","lab0-1-run-os2-ttxs69","https://github.com/LearningOS/lab0-1-run-os2-ttxs69","2022-07-02 23:59:59 UTC","100","0"
"lab0-1-run-os2","https://classroom.github.com/classrooms/19380377-2022-training-comp-on-open-source-os/assignments/lab0-1-run-os2","https://api.github.com/repos/LearningOS/rust-based-os-comp2022","xushanpu123","","lab0-1-run-os2-xushanpu123","https://github.com/LearningOS/lab0-1-run-os2-xushanpu123","2022-07-02 23:59:59 UTC","100","0"
"lab0-1-run-os2","https://classroom.github.com/classrooms/19380377-2022-training-comp-on-open-source-os/assignments/lab0-1-run-os2","https://api.github.com/repos/LearningOS/rust-based-os-comp2022","kidcats","","lab0-1-run-os2-kidcats","https://github.com/LearningOS/lab0-1-run-os2-kidcats","","0","0"
"lab0-1-run-os2","https://classroom.github.com/classrooms/19380377-2022-training-comp-on-open-source-os/assignments/lab0-1-run-os2","https://api.github.com/repos/LearningOS/rust-based-os-comp2022","cascades-sjtu","","lab0-1-run-os2-cascades-sjtu","https://github.com/LearningOS/lab0-1-run-os2-cascades-sjtu","2022-07-09 23:59:59 UTC","0","0"
"lab0-1-run-os2","https://classroom.github.com/classrooms/19380377-2022-training-comp-on-open-source-os/assignments/lab0-1-run-os2","https://api.github.com/repos/LearningOS/rust-based-os-comp2022","myrfy001","","lab0-1-run-os2-myrfy001","https://github.com/LearningOS/lab0-1-run-os2-myrfy001","2022-07-03 23:59:59 UTC","100","0"
