"assignment_name","assignment_url","starter_code_url","github_username","roster_identifier","student_repository_name","student_repository_url","submission_timestamp","points_awarded","points_available"
"lab2-os4","https://classroom.github.com/classrooms/19380377-2022-training-comp-on-open-source-os/assignments/lab2-os4","https://api.github.com/repos/LearningOS/rust-based-os-comp2022","Build10240","","lab2-os4-Build10240","https://github.com/LearningOS/lab2-os4-Build10240","","0","0"
"lab2-os4","https://classroom.github.com/classrooms/19380377-2022-training-comp-on-open-source-os/assignments/lab2-os4","https://api.github.com/repos/LearningOS/rust-based-os-comp2022","chyyuu","","lab2-os4-chyyuu","https://github.com/LearningOS/lab2-os4-chyyuu","2022-07-02 23:59:59 UTC","100","0"
"lab2-os4","https://classroom.github.com/classrooms/19380377-2022-training-comp-on-open-source-os/assignments/lab2-os4","https://api.github.com/repos/LearningOS/rust-based-os-comp2022","CL-a11y","","lab2-os4-CL-a11y","https://github.com/LearningOS/lab2-os4-CL-a11y","2022-07-03 23:59:59 UTC","100","0"
"lab2-os4","https://classroom.github.com/classrooms/19380377-2022-training-comp-on-open-source-os/assignments/lab2-os4","https://api.github.com/repos/LearningOS/rust-based-os-comp2022","BuckWang0509","","lab2-os4-BuckWang0509","https://github.com/LearningOS/lab2-os4-BuckWang0509","","0","0"
"lab2-os4","https://classroom.github.com/classrooms/19380377-2022-training-comp-on-open-source-os/assignments/lab2-os4","https://api.github.com/repos/LearningOS/rust-based-os-comp2022","lpxxn","","lab2-os4-lpxxn","https://github.com/LearningOS/lab2-os4-lpxxn","","0","0"
"lab2-os4","https://classroom.github.com/classrooms/19380377-2022-training-comp-on-open-source-os/assignments/lab2-os4","https://api.github.com/repos/LearningOS/rust-based-os-comp2022","Ephmeral","","lab2-os4-Ephmeral","https://github.com/LearningOS/lab2-os4-Ephmeral","","0","0"
"lab2-os4","https://classroom.github.com/classrooms/19380377-2022-training-comp-on-open-source-os/assignments/lab2-os4","https://api.github.com/repos/LearningOS/rust-based-os-comp2022","jackyliu16","","lab2-os4-jackyliu16","https://github.com/LearningOS/lab2-os4-jackyliu16","","0","0"
"lab2-os4","https://classroom.github.com/classrooms/19380377-2022-training-comp-on-open-source-os/assignments/lab2-os4","https://api.github.com/repos/LearningOS/rust-based-os-comp2022","xushanpu123","","lab2-os4-xushanpu123","https://github.com/LearningOS/lab2-os4-xushanpu123","2022-07-03 23:59:59 UTC","100","0"
"lab2-os4","https://classroom.github.com/classrooms/19380377-2022-training-comp-on-open-source-os/assignments/lab2-os4","https://api.github.com/repos/LearningOS/rust-based-os-comp2022","cascades-sjtu","","lab2-os4-cascades-sjtu","https://github.com/LearningOS/lab2-os4-cascades-sjtu","","0","0"
"lab2-os4","https://classroom.github.com/classrooms/19380377-2022-training-comp-on-open-source-os/assignments/lab2-os4","https://api.github.com/repos/LearningOS/rust-based-os-comp2022","eastfisher","","lab2-os4-eastfisher","https://github.com/LearningOS/lab2-os4-eastfisher","","0","0"
"lab2-os4","https://classroom.github.com/classrooms/19380377-2022-training-comp-on-open-source-os/assignments/lab2-os4","https://api.github.com/repos/LearningOS/rust-based-os-comp2022","duny31030","","lab2-os4-duny31030","https://github.com/LearningOS/lab2-os4-duny31030","","0","0"
"lab2-os4","https://classroom.github.com/classrooms/19380377-2022-training-comp-on-open-source-os/assignments/lab2-os4","https://api.github.com/repos/LearningOS/rust-based-os-comp2022","Zfl990109","","lab2-os4-Zfl990109","https://github.com/LearningOS/lab2-os4-Zfl990109","2022-07-06 23:59:59 UTC","100","0"
"lab2-os4","https://classroom.github.com/classrooms/19380377-2022-training-comp-on-open-source-os/assignments/lab2-os4","https://api.github.com/repos/LearningOS/rust-based-os-comp2022","pickanameforlove","","lab2-os4-pickanameforlove","https://github.com/LearningOS/lab2-os4-pickanameforlove","2022-07-13 23:59:59 UTC","100","0"
"lab2-os4","https://classroom.github.com/classrooms/19380377-2022-training-comp-on-open-source-os/assignments/lab2-os4","https://api.github.com/repos/LearningOS/rust-based-os-comp2022","EWking","","lab2-os4-EWking","https://github.com/LearningOS/lab2-os4-EWking","","0","0"
"lab2-os4","https://classroom.github.com/classrooms/19380377-2022-training-comp-on-open-source-os/assignments/lab2-os4","https://api.github.com/repos/LearningOS/rust-based-os-comp2022","Jack-Zhang-1314","","lab2-os4-Jack-Zhang-1314","https://github.com/LearningOS/lab2-os4-Jack-Zhang-1314","","0","0"
"lab2-os4","https://classroom.github.com/classrooms/19380377-2022-training-comp-on-open-source-os/assignments/lab2-os4","https://api.github.com/repos/LearningOS/rust-based-os-comp2022","myrfy001","","lab2-os4-myrfy001","https://github.com/LearningOS/lab2-os4-myrfy001","2022-07-12 23:59:59 UTC","100","0"
"lab2-os4","https://classroom.github.com/classrooms/19380377-2022-training-comp-on-open-source-os/assignments/lab2-os4","https://api.github.com/repos/LearningOS/rust-based-os-comp2022","linyihai","","lab2-os4-linyihai","https://github.com/LearningOS/lab2-os4-linyihai","2022-07-13 23:59:59 UTC","0","0"
"lab2-os4","https://classroom.github.com/classrooms/19380377-2022-training-comp-on-open-source-os/assignments/lab2-os4","https://api.github.com/repos/LearningOS/rust-based-os-comp2022","Andre-HJR","","lab2-os4-Andre-HJR","https://github.com/LearningOS/lab2-os4-Andre-HJR","2022-07-11 23:59:59 UTC","100","0"
"lab2-os4","https://classroom.github.com/classrooms/19380377-2022-training-comp-on-open-source-os/assignments/lab2-os4","https://api.github.com/repos/LearningOS/rust-based-os-comp2022","Yakkhini","","lab2-os4-Yakkhini","https://github.com/LearningOS/lab2-os4-Yakkhini","2022-07-13 23:59:59 UTC","0","0"
"lab2-os4","https://classroom.github.com/classrooms/19380377-2022-training-comp-on-open-source-os/assignments/lab2-os4","https://api.github.com/repos/LearningOS/rust-based-os-comp2022","sslime336","","lab2-os4-sslime336","https://github.com/LearningOS/lab2-os4-sslime336","2022-07-11 23:59:59 UTC","0","0"
"lab2-os4","https://classroom.github.com/classrooms/19380377-2022-training-comp-on-open-source-os/assignments/lab2-os4","https://api.github.com/repos/LearningOS/rust-based-os-comp2022","TXuian","","lab2-os4-TXuian","https://github.com/LearningOS/lab2-os4-TXuian","2022-07-13 23:59:59 UTC","0","0"
"lab2-os4","https://classroom.github.com/classrooms/19380377-2022-training-comp-on-open-source-os/assignments/lab2-os4","https://api.github.com/repos/LearningOS/rust-based-os-comp2022","wanderya","","lab2-os4-wanderya","https://github.com/LearningOS/lab2-os4-wanderya","","0","0"
"lab2-os4","https://classroom.github.com/classrooms/19380377-2022-training-comp-on-open-source-os/assignments/lab2-os4","https://api.github.com/repos/LearningOS/rust-based-os-comp2022","Shl1015CS","","lab2-os4-Shl1015CS","https://github.com/LearningOS/lab2-os4-Shl1015CS","","0","0"
"lab2-os4","https://classroom.github.com/classrooms/19380377-2022-training-comp-on-open-source-os/assignments/lab2-os4","https://api.github.com/repos/LearningOS/rust-based-os-comp2022","Weijun-H","","lab2-os4-Weijun-H","https://github.com/LearningOS/lab2-os4-Weijun-H","2022-07-11 23:59:59 UTC","0","0"
"lab2-os4","https://classroom.github.com/classrooms/19380377-2022-training-comp-on-open-source-os/assignments/lab2-os4","https://api.github.com/repos/LearningOS/rust-based-os-comp2022","aucker","","lab2-os4-aucker","https://github.com/LearningOS/lab2-os4-aucker","","0","0"
"lab2-os4","https://classroom.github.com/classrooms/19380377-2022-training-comp-on-open-source-os/assignments/lab2-os4","https://api.github.com/repos/LearningOS/rust-based-os-comp2022","zhaiqiming","","lab2-os4-zhaiqiming","https://github.com/LearningOS/lab2-os4-zhaiqiming","2022-07-13 23:59:59 UTC","0","0"
"lab2-os4","https://classroom.github.com/classrooms/19380377-2022-training-comp-on-open-source-os/assignments/lab2-os4","https://api.github.com/repos/LearningOS/rust-based-os-comp2022","werifu","","lab2-os4-werifu","https://github.com/LearningOS/lab2-os4-werifu","2022-07-13 23:59:59 UTC","0","0"
"lab2-os4","https://classroom.github.com/classrooms/19380377-2022-training-comp-on-open-source-os/assignments/lab2-os4","https://api.github.com/repos/LearningOS/rust-based-os-comp2022","fengF3ng","","lab2-os4-fengF3ng","https://github.com/LearningOS/lab2-os4-fengF3ng","2022-07-14 23:59:59 UTC","0","0"
